kod_obce,obec,volebni_ucast_%,volici_v_seznamu,vydane_obalky,odevzdane_obalky,platne_hlasy,platne_hlasy_%,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
547701,Libchyně,"74,58",59,44,44,44,"100,00",6,0,0,2,0,0,0,2,1,0,0,0,6,0,2,13,0,0,6,1,0,0,5,0
573388,Litoboř,"69,15",94,65,65,65,"100,00",11,1,0,1,0,3,1,0,0,2,0,0,8,0,3,17,0,1,8,0,0,0,9,0
574210,Machov,"64,86",888,576,575,566,"98,43",86,1,0,53,2,44,17,8,7,4,1,1,41,1,27,159,0,1,46,4,0,1,59,3
574228,Martínkovice,"64,54",423,273,273,271,"99,27",16,0,0,20,1,15,25,0,1,0,0,0,16,0,7,110,0,0,26,3,0,1,28,2
574236,Mezilečí,"73,11",119,87,87,87,"100,00",11,0,0,3,0,1,9,0,0,0,0,0,7,0,2,27,0,0,13,1,0,0,13,0
574244,Mezilesí,"64,00",200,128,128,128,"100,00",14,0,0,5,0,12,6,1,0,1,0,0,14,0,4,35,3,2,11,0,0,1,19,0
574252,Meziměstí,"54,70",2002,1095,1094,1089,"99,54",65,1,0,148,1,39,109,9,8,11,0,0,95,1,19,413,3,2,50,2,1,2,110,0
574261,Nahořany,"65,02",426,277,277,273,"98,56",18,0,0,11,0,11,9,2,4,5,0,0,25,0,12,104,0,1,28,1,0,0,41,1
573868,Náchod,"61,37",16069,9861,9856,9796,"99,39",1007,28,4,1155,6,279,552,154,57,131,8,12,1017,7,443,3023,19,24,835,42,11,18,938,26
574279,Nové Město nad Metují,"67,73",7802,5284,5279,5260,"99,64",677,11,6,328,5,203,268,65,41,123,0,2,554,9,314,1557,6,9,515,42,4,9,495,17
574287,Nový Hrádek,"73,33",615,451,451,449,"99,56",40,6,0,38,0,36,18,3,4,10,1,0,44,3,17,116,0,3,76,1,2,1,30,0
574295,Nový Ples,"64,23",274,176,176,174,"98,86",15,0,0,10,0,6,15,4,1,1,1,0,19,0,7,52,0,0,15,2,1,1,23,1
574317,Otovice,"54,36",298,162,162,159,"98,15",17,0,0,14,0,5,14,5,1,0,0,0,19,0,2,66,0,0,5,2,0,0,9,0
574341,Police nad Metují,"61,84",3336,2063,2063,2052,"99,47",350,3,2,163,5,78,123,29,22,10,2,0,195,1,83,579,0,2,192,5,4,2,196,6
574350,Provodov-Šonov,"68,31",953,651,650,648,"99,69",84,1,0,28,1,34,24,13,7,5,0,0,85,0,15,199,0,0,105,2,1,0,44,0
574368,Přibyslav,"64,33",157,101,101,101,"100,00",11,0,0,2,0,6,3,0,1,0,0,0,6,0,13,27,0,0,13,0,0,0,19,0
574376,Rasošky,"62,90",531,334,334,332,"99,40",41,0,0,15,1,15,21,4,2,5,0,0,29,2,14,115,1,0,15,1,1,1,48,1
574384,Rožnov,"61,64",318,196,196,196,"100,00",15,0,0,13,0,17,14,2,2,1,1,0,23,0,10,60,0,0,9,2,0,0,27,0
574406,Rychnovek,"62,30",504,314,314,310,"98,73",30,0,0,12,1,19,23,1,2,1,4,0,26,1,14,105,0,1,27,1,0,2,38,2
530786,Říkov,"68,45",168,115,115,114,"99,13",7,0,0,7,0,5,12,2,2,4,0,0,13,0,6,33,0,0,8,1,1,2,11,0
547727,Sendraž,"72,41",87,63,63,63,"100,00",4,0,0,4,0,9,2,2,2,4,0,0,8,0,4,9,0,0,8,0,0,0,7,0
574422,Slatina nad Úpou,"75,00",244,183,183,183,"100,00",5,0,0,12,0,8,9,1,0,0,0,1,24,0,4,51,0,0,39,2,0,0,27,0
574431,Slavětín nad Metují,"76,14",197,150,150,148,"98,67",15,2,0,16,0,6,4,0,0,2,0,0,15,0,10,52,0,0,6,1,0,0,17,2
574457,Slavoňov,"76,42",229,175,175,174,"99,43",4,1,0,10,0,7,8,4,1,5,0,0,18,1,7,48,1,1,37,1,0,1,19,0
574465,Stárkov,"65,64",521,342,342,341,"99,71",31,0,0,26,1,13,23,4,2,6,0,0,38,0,11,115,1,0,26,0,0,1,42,1
574481,Studnice,"71,13",866,616,616,614,"99,68",66,0,0,45,0,25,38,21,4,10,0,0,46,1,30,211,4,0,46,4,1,3,57,2
574490,Suchý Důl,"69,23",325,225,225,219,"97,33",31,0,0,18,0,19,8,4,0,1,0,0,25,0,11,60,0,0,21,0,1,0,19,1
547654,Šestajovice,"59,87",152,91,91,91,"100,00",7,0,0,8,0,5,8,0,1,1,0,0,10,0,4,30,0,0,5,0,0,1,10,1
574511,Šonov,"53,75",240,129,129,129,"100,00",8,0,0,9,0,3,27,1,0,0,0,0,10,0,0,46,0,0,3,0,1,0,21,0
574538,Teplice nad Metují,"59,00",1400,826,826,816,"98,79",85,1,0,44,1,75,86,9,5,13,1,0,83,4,60,221,0,0,36,6,1,1,83,1
574554,Velichovky,"72,00",700,504,504,502,"99,60",51,4,1,35,3,43,29,4,7,8,1,2,50,0,20,169,3,1,27,3,0,4,35,2
574562,Velká Jesenice,"61,17",613,375,375,371,"98,93",20,0,1,27,1,21,25,4,3,5,0,0,26,0,13,138,0,0,54,1,0,0,31,1
574571,Velké Petrovice,"64,78",335,217,217,217,"100,00",24,0,0,38,0,6,12,1,2,5,2,0,43,0,4,34,1,1,13,3,2,0,26,0
547646,Velké Poříčí,"67,86",1879,1275,1275,1259,"98,75",208,1,0,92,1,36,77,13,11,13,0,1,93,2,72,387,2,3,119,3,0,5,116,4
574589,Velký Třebešov,"66,92",260,174,174,172,"98,85",21,1,1,13,0,3,11,2,4,2,0,0,14,0,4,55,0,3,16,0,0,1,20,1
547743,Vernéřovice,"57,81",256,148,147,146,"99,32",11,0,0,9,0,13,10,0,1,1,0,0,10,0,6,56,0,0,6,1,0,0,21,1
547565,Vestec,"71,92",146,105,105,104,"99,05",17,0,0,10,0,2,4,3,0,0,0,0,16,0,2,24,0,0,10,0,1,0,15,0
574601,Vlkov,"65,00",300,195,195,194,"99,49",20,0,0,12,0,13,18,8,5,2,0,0,8,1,12,54,1,1,10,0,2,0,25,2
574627,Vršovka,"71,96",107,77,77,77,"100,00",11,0,0,7,0,1,2,0,1,0,0,0,12,0,10,19,0,0,5,0,0,0,9,0
574635,Vysoká Srbská,"63,13",217,137,136,135,"99,26",20,1,0,10,0,9,3,1,2,0,0,0,8,0,9,52,1,0,13,1,0,0,5,0
574643,Vysokov,"71,58",380,272,272,270,"99,26",32,0,0,11,1,9,23,1,1,2,0,0,23,0,20,85,4,0,27,3,0,1,25,2
574651,Zábrodí,"68,59",417,286,286,281,"98,25",41,0,0,26,1,14,8,4,0,6,0,0,40,0,12,62,0,0,35,2,0,0,28,2
574660,Zaloňov,"67,03",367,246,245,245,"100,00",4,3,1,13,0,16,26,3,3,1,0,0,15,0,6,88,0,1,4,1,2,2,55,1
574686,Žďár nad Metují,"65,13",522,340,340,337,"99,12",59,0,1,14,2,20,15,3,2,2,0,0,30,0,19,106,1,2,24,1,1,3,31,1
574694,Žďárky,"66,30",454,301,301,296,"98,34",58,0,1,25,0,16,12,0,2,1,0,2,14,0,13,85,1,0,38,0,1,2,25,0
574708,Žernov,"69,95",203,142,142,141,"99,30",28,0,0,7,2,5,2,6,2,2,0,1,12,0,21,34,0,0,10,1,0,0,8,0
